Sample in Buffer,Sample in Window,TRIGGER,dac_inst/in_clk,dac_inst/in_reset,dac_inst/in_sdo,dac_inst/p_0_in11_in,dac_inst/out_sclk,dac_inst/out_ss,dac_inst/out_sdio,dac_inst/out_data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
434,434,0,0,1,0,1,0,0,0,ffff
435,435,0,0,1,0,1,0,0,0,ffff
436,436,0,0,1,0,1,1,0,0,ffff
437,437,0,0,1,0,1,1,0,0,ffff
438,438,0,0,1,0,1,1,0,0,0000
439,439,0,0,1,0,1,1,0,0,0000
440,440,0,0,1,0,1,1,0,0,0000
441,441,0,0,1,0,1,1,0,0,0000
442,442,0,0,1,0,1,0,0,0,0000
443,443,0,0,1,0,1,0,0,0,0000
444,444,0,0,1,0,1,0,0,0,0000
445,445,0,0,1,0,1,0,0,0,0000
446,446,0,0,1,0,1,0,0,0,0000
447,447,0,0,1,0,1,0,0,0,0000
448,448,0,0,1,0,1,1,0,0,0000
449,449,0,0,1,0,1,1,0,0,0000
450,450,0,0,1,0,1,1,0,0,0000
451,451,0,0,1,0,1,1,0,0,0000
452,452,0,0,1,0,1,1,0,0,0000
453,453,0,0,1,0,1,1,0,0,0000
454,454,0,0,1,0,1,0,0,0,0000
455,455,0,0,1,0,1,0,0,0,0000
456,456,0,0,1,0,1,0,0,0,0000
457,457,0,0,1,0,1,0,0,0,0000
458,458,0,0,1,0,1,0,0,0,0000
459,459,0,0,1,0,1,0,0,0,0000
460,460,0,0,1,0,1,1,0,0,0000
461,461,0,0,1,0,1,1,0,0,0000
462,462,0,0,1,0,1,1,0,0,0000
463,463,0,0,1,0,1,1,0,0,0000
464,464,0,0,1,0,1,1,0,0,0000
465,465,0,0,1,0,1,1,0,0,0000
466,466,0,0,1,0,1,0,0,0,0000
467,467,0,0,1,0,1,0,0,0,0000
468,468,0,0,1,0,1,0,0,0,0000
469,469,0,0,1,0,1,0,0,0,0000
470,470,0,0,1,0,1,0,0,0,ffff
471,471,0,0,1,0,1,0,0,0,ffff
472,472,0,0,1,0,1,1,0,0,ffff
473,473,0,0,1,0,1,1,0,0,ffff
474,474,0,0,1,0,1,1,0,0,ffff
475,475,0,0,1,0,1,1,0,0,ffff
476,476,0,0,1,0,1,1,0,0,ffff
477,477,0,0,1,0,1,1,0,0,ffff
478,478,0,0,1,0,1,0,0,0,ffff
479,479,0,0,1,0,1,0,0,0,ffff
480,480,0,0,1,0,1,0,0,0,ffff
481,481,0,0,1,0,1,0,0,0,ffff
482,482,0,0,1,0,1,0,0,0,ffff
483,483,0,0,1,0,1,0,0,0,ffff
484,484,0,0,1,0,1,1,0,0,ffff
485,485,0,0,1,0,1,1,0,0,ffff
486,486,0,0,1,0,1,1,0,0,ffff
487,487,0,0,1,0,1,1,0,0,ffff
488,488,0,0,1,0,1,1,0,0,ffff
489,489,0,0,1,0,1,1,0,0,ffff
490,490,0,0,1,0,1,0,0,0,ffff
491,491,0,0,1,0,1,0,0,0,ffff
